feature_method,tfidf_config,model,train_size,test_size,train_time_sec,accuracy,precision_weighted,recall_weighted,f1_weighted,primary_metric
tfidf,tfidf_uni_1k,naive_bayes,5000,2000,0.0363,0.8325,0.833504,0.8325,0.832099,f1_weighted
tfidf,tfidf_uni_1k,logistic_regression,5000,2000,37.1726,0.8195,0.823774,0.8195,0.819766,f1_weighted
tfidf,tfidf_uni_1k,svm,5000,2000,0.0529,0.8095,0.811891,0.8095,0.809334,f1_weighted
