feature_family,benchmark_type,benchmark_scale,model,train_size,test_size,feature_dim,accuracy,precision,recall,f1,train_time_sec,embed_time_sec,comparison_note
embedding,embedding_scale,20k_2k,svm,20000,2000,384,0.8955,0.8958,0.8955,0.8954,6.61017632484436,276.7129602432251,best embedding config
tfidf,tfidf_config,tfidf_uni_1k,naive_bayes,5000,2000,,0.8325,0.833504,0.8325,0.832099,0.0363,,best TF-IDF config
